,cell_index,age_at_chase,rls,div_duration,dist_from_sen,late_daughter_shape,x_input,y_input_raw,y_input_norm,y_pred_norm,residual,r_sq,est_std_err,shapiro_p,a,b,c,genotype,substrate
0,0,,,,,,0.0,97.04000000000002,1.0,1.0721825986911622,-0.07218259869116217,0.952037384378325,0.050702007096740845,0.020133234560489655,1.0115011842446335,1.780271793965801,0.06068141444652856,BY4741,UBL-sYFP2-NS
1,0,,,,,,0.16666666666666666,84.15500000000003,0.8672197032151692,0.8124878277765022,0.05473187543866698,0.952037384378325,0.050702007096740845,0.020133234560489655,1.0115011842446335,1.780271793965801,0.06068141444652856,BY4741,UBL-sYFP2-NS
2,0,,,,,,0.3333333333333333,62.02800000000002,0.6392003297609234,0.6194675947574961,0.019732735003427315,0.952037384378325,0.050702007096740845,0.020133234560489655,1.0115011842446335,1.780271793965801,0.06068141444652856,BY4741,UBL-sYFP2-NS
3,0,,,,,,0.5,52.976,0.5459192085737838,0.47600374978483573,0.06991545878894811,0.952037384378325,0.050702007096740845,0.020133234560489655,1.0115011842446335,1.780271793965801,0.06068141444652856,BY4741,UBL-sYFP2-NS
4,0,,,,,,0.6666666666666666,38.56999999999999,0.397464962901896,0.36937308991866025,0.028091872983235733,0.952037384378325,0.050702007096740845,0.020133234560489655,1.0115011842446335,1.780271793965801,0.06068141444652856,BY4741,UBL-sYFP2-NS
5,0,,,,,,0.8333333333333334,28.065999999999974,0.2892209398186312,0.2901189919564678,-0.0008980521378366135,0.952037384378325,0.050702007096740845,0.020133234560489655,1.0115011842446335,1.780271793965801,0.06068141444652856,BY4741,UBL-sYFP2-NS
6,0,,,,,,1.0,20.410000000000025,0.21032563891178915,0.23121274443175135,-0.0208871055199622,0.952037384378325,0.050702007096740845,0.020133234560489655,1.0115011842446335,1.780271793965801,0.06068141444652856,BY4741,UBL-sYFP2-NS
7,0,,,,,,1.1666666666666667,19.352000000000032,0.19942291838417175,0.1874302008578092,0.01199271752636255,0.952037384378325,0.050702007096740845,0.020133234560489655,1.0115011842446335,1.780271793965801,0.06068141444652856,BY4741,UBL-sYFP2-NS
8,0,,,,,,1.3333333333333333,16.351,0.16849752679307498,0.15488847222368055,0.01360905456939443,0.952037384378325,0.050702007096740845,0.020133234560489655,1.0115011842446335,1.780271793965801,0.06068141444652856,BY4741,UBL-sYFP2-NS
9,0,,,,,,1.5,6.848000000000013,0.07056883759274538,0.13070156995499796,-0.06013273236225258,0.952037384378325,0.050702007096740845,0.020133234560489655,1.0115011842446335,1.780271793965801,0.06068141444652856,BY4741,UBL-sYFP2-NS
10,0,,,,,,1.6666666666666667,6.461000000000013,0.0665807914262161,0.11272445976727224,-0.04614366834105614,0.952037384378325,0.050702007096740845,0.020133234560489655,1.0115011842446335,1.780271793965801,0.06068141444652856,BY4741,UBL-sYFP2-NS
11,0,,,,,,1.8333333333333333,3.154000000000053,0.032502061005771354,0.09936282762804276,-0.0668607666222714,0.952037384378325,0.050702007096740845,0.020133234560489655,1.0115011842446335,1.780271793965801,0.06068141444652856,BY4741,UBL-sYFP2-NS
12,0,,,,,,2.0,1.9680000000000177,0.020280296784831175,0.08943168677393659,-0.06915138998910542,0.952037384378325,0.050702007096740845,0.020133234560489655,1.0115011842446335,1.780271793965801,0.06068141444652856,BY4741,UBL-sYFP2-NS
13,0,,,,,,2.1666666666666665,0.9610000000000127,0.009903132728771769,0.08205028623570987,-0.0721471535069381,0.952037384378325,0.050702007096740845,0.020133234560489655,1.0115011842446335,1.780271793965801,0.06068141444652856,BY4741,UBL-sYFP2-NS
14,0,,,,,,2.3333333333333335,0.5730000000000359,0.005904781533388663,0.07656400075188186,-0.07065921921849319,0.952037384378325,0.050702007096740845,0.020133234560489655,1.0115011842446335,1.780271793965801,0.06068141444652856,BY4741,UBL-sYFP2-NS
15,0,,,,,,2.5,1.5950000000000273,0.01643652102225914,0.07248627481705636,-0.056049753794797215,0.952037384378325,0.050702007096740845,0.020133234560489655,1.0115011842446335,1.780271793965801,0.06068141444652856,BY4741,UBL-sYFP2-NS
16,0,,,,,,2.6666666666666665,0.0,0.0,0.06945547212759325,-0.06945547212759325,0.952037384378325,0.050702007096740845,0.020133234560489655,1.0115011842446335,1.780271793965801,0.06068141444652856,BY4741,UBL-sYFP2-NS
17,0,,,,,,2.8333333333333335,2.2409999999999854,0.023093569661994898,0.0672028035840782,-0.044109233922083296,0.952037384378325,0.050702007096740845,0.020133234560489655,1.0115011842446335,1.780271793965801,0.06068141444652856,BY4741,UBL-sYFP2-NS
18,0,,,,,,3.0,2.6310000000000286,0.027112530915086853,0.06552848952048565,-0.0384159586053988,0.952037384378325,0.050702007096740845,0.020133234560489655,1.0115011842446335,1.780271793965801,0.06068141444652856,BY4741,UBL-sYFP2-NS
19,0,,,,,,3.1666666666666665,2.105000000000018,0.02169208573784025,0.06428404208874343,-0.04259195635090318,0.952037384378325,0.050702007096740845,0.020133234560489655,1.0115011842446335,1.780271793965801,0.06068141444652856,BY4741,UBL-sYFP2-NS
20,0,,,,,,3.3333333333333335,3.1299999999999955,0.03225474031327282,0.06335909649816117,-0.031104356184888347,0.952037384378325,0.050702007096740845,0.020133234560489655,1.0115011842446335,1.780271793965801,0.06068141444652856,BY4741,UBL-sYFP2-NS
21,0,,,,,,3.5,1.8640000000000327,0.01920857378400693,0.0626716232279244,-0.04346304944391747,0.952037384378325,0.050702007096740845,0.020133234560489655,1.0115011842446335,1.780271793965801,0.06068141444652856,BY4741,UBL-sYFP2-NS
